Student_ID,Age,Gender,Study_Hours_per_Week,Attendance_Rate,Previous_Score,Assignment_Performance,Sleep_Hours_per_Night,Motivation_Level,Parental_Involvement,Internet_Access,Tutoring,Extracurricular_Activities,Family_Income,Distance_from_School,Learning_Difficulties,Academic_Support,Exam_Score
STU00001,21,Male,0.0,74.8,58.8,58.2,8.5,High,Medium,Yes,Yes,Yes,Medium,Moderate,No,No,65.9
STU00002,18,Male,0.0,83.0,53.5,43.7,8.4,High,Medium,Yes,No,No,High,Moderate,No,No,54.7
STU00003,19,Female,15.7,94.3,69.6,77.1,4.9,Medium,High,Yes,No,Yes,Low,Far,No,No,70.3
STU00004,21,Other,17.0,94.8,62.1,53.7,8.3,Medium,Low,No,Yes,No,High,Near,No,No,64.6
STU00005,17,Male,13.4,96.7,49.4,61.9,6.7,Medium,High,Yes,No,No,Low,Moderate,No,No,63.6
STU00006,19,Female,5.0,84.0,69.4,64.4,7.4,Medium,Medium,No,No,Yes,High,Moderate,No,Yes,59.8
STU00007,19,Male,11.8,81.7,81.4,84.4,6.4,Low,High,Yes,No,Yes,Low,Moderate,No,Yes,63.0
STU00008,21,Female,26.6,92.4,59.7,94.0,5.4,High,Medium,Yes,No,No,Medium,Far,Yes,No,72.5
STU00009,16,Female,12.1,96.7,61.4,63.7,5.0,Low,Low,Yes,Yes,No,Low,Moderate,No,No,58.5
STU00010,17,Female,11.0,85.8,58.5,74.0,6.1,High,High,No,No,No,High,Near,No,No,75.9
STU00011,21,Other,24.9,100.0,55.5,80.3,7.7,Medium,High,Yes,No,No,Medium,Near,No,No,71.2
STU00012,17,Male,13.3,92.1,59.1,77.0,7.4,High,Low,Yes,No,No,Low,Near,No,No,69.7
STU00013,17,Female,20.4,79.3,54.1,84.4,7.3,Medium,High,Yes,No,No,Medium,Moderate,No,No,66.4
STU00014,19,Female,18.7,80.5,57.5,96.0,8.2,Medium,Medium,Yes,Yes,Yes,Medium,Near,No,Yes,73.3
STU00015,18,Male,7.9,84.6,60.9,67.7,6.9,Medium,High,Yes,No,No,Medium,Near,No,No,67.5
STU00016,17,Female,7.1,69.3,65.4,53.7,,Low,Medium,Yes,No,No,High,Moderate,No,No,52.0
STU00017,20,Male,4.2,79.5,55.9,58.2,7.6,High,Low,Yes,Yes,No,Medium,Far,Yes,Yes,58.5
STU00018,19,Female,6.9,96.4,51.7,51.0,5.5,High,High,Yes,No,Yes,Low,Far,No,No,51.5
STU00019,16,Male,21.6,98.5,61.5,66.9,5.0,Medium,High,Yes,No,No,Low,Far,No,No,73.6
STU00020,18,Male,8.4,87.9,66.2,58.9,7.5,Medium,Low,No,No,No,Medium,Moderate,No,No,60.9
STU00021,20,Female,13.9,89.5,43.4,68.3,6.7,Medium,Medium,No,No,Yes,Medium,Near,No,No,57.4
STU00022,20,Female,12.7,81.9,74.2,61.7,5.3,Medium,High,Yes,No,No,Medium,Far,No,No,66.3
STU00023,16,Male,18.0,78.6,45.0,55.4,6.8,High,Medium,Yes,No,Yes,Low,Near,Yes,No,51.2
STU00024,18,Male,4.1,90.7,73.8,40.7,6.2,Medium,High,Yes,No,Yes,Medium,Moderate,No,No,57.8
STU00025,19,Female,23.8,80.6,47.1,83.3,6.3,High,Medium,Yes,Yes,No,High,Moderate,No,No,75.2
